S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
42,Ward 32,11936,"कामपाबाट छात्रवृति पाएका विधार्थीलाई बालकुमारीमा रहेको CCRC college ले Monthly Fee भनेर जम्मा रु ६०,०००।- मागेको छ । अनुगमन गरिदिनुपर्यो ।",09/22/2024,शिक्षा विभाग,open
43,Ward 28,11902,"नमस्कार महोदय,
म काठमाडौं महानगर बसी पद्मोदय माध्यमिक विद्यालयमा कक्षा 10 मा आधारित छु। हाम्रो विद्यालयमा बिहान 6 बजे देखि 10 बजे सम्म कोचिङ कक्षा सञ्चालन हुनछ ।हामीलाई महानगरवटै नै गराउन भनिएको छ भनेर भनिन्छ । 350 को दरले 4 ओटा कक्षा सञ्चालन गरिन्छ। यो सही हो कि महानगरले यो आदेश देको छ।
तपाईं को जवाफको लागि म पर्किन्छु ।
धन्यवाद !",09/19/2024,शिक्षा विभाग,open
44,NoWard,11890,सवै संस्थागत विद्यालयमा फरक फरक असमान  समयमा विदा हुदा एउटै घर वाट जाने वच्चाहरुमा पनि नकारात्मक विचार हुन थाल्यो कसैको विदा कसैको स्कुल खु्ला हुनु भएन,09/17/2024,शिक्षा विभाग,open
45,NoWard,11867,"My sister has just passed +2 and her clz is asking for Rs4500 for certificate is it right fee or are they charging unnecessary fee 
Hope to hear from you soon",09/14/2024,शिक्षा विभाग,open
46,Ward 10,11847,१० वडामा रहेकाे रत्नराज्यलक्ष्मि स्कुलमा इन्टरनल परीक्षामा ९/१० कक्षाकाे बिध्यार्थि  थाेरै मात्रामा पास भए कक्षामा शिक्षककले एउटा कुरा पढाउने परीक्षामा प्रश्नपत्र अर्काे निकाल्ने  पढाइमा लापरबाहि गरेकाे देखियाे तर बिध्यार्थिलाइ नै दाेष दिएर उम्किन खाेजेकाे र स्कुलकाे व्यवस्थापन पनि  राम्राे नभएकाेले तत्काल समाधान गरिदिनुहुनकाे लागि अनुराेध छ ।,09/12/2024,शिक्षा विभाग,open
47,NoWard,11846,"कालाेपुलमा रहेकाे  जेभियर इन्टरनेशनल कलेजले पहिले भर्ना गर्न लगायाे मेराे कामपाले लिएकाे स्कलरसिपमा  अरु कलेजमा नाम निस्कियाे पछि म जेभियर इन्टरनेशनल कजेलमा  भर्ना गरेकाे भर्ना फि ५००० रुपैया फिर्ता  दिनु भन्दा फिर्ता दिनु भएन  भन्ने गुनासाे आएकाे छ ।  
",09/12/2024,शिक्षा विभाग,closed
48,NoWard,11829,"KMC college ले छात्रवृति पाएको विधार्थीको १०,०००।- रुपैँया फिर्ता दिएन ।",09/11/2024,शिक्षा विभाग,closed
49,Ward 6,11740,बौद्धमा रहेको Children Army School ले सबै विद्यार्थीलाई अनिवार्य रुपमा कोचिङमा राख्नुपर्छ भनेर बाध्य बनाउँछ र कोचिङको शुल्क पनि लिन्छ । कोचिङको सट्टा हाम्रा छोराछोरीलाई घरैमा tuition पढाएर राख्न पाए हुन्थ्यो भन्ने गुनासो आएको छ ।,08/28/2024,शिक्षा विभाग,open
50,Ward 26,11697,"सामाखुशीमा रहेको तक्षशिला एकेडेमीले एक जना विद्यार्थीले कपाल नकाटेको भनी उक्त विद्यार्थीको कपाल काटेर, कुटेर, कैँचीले टाउकोमा घाउ पनि बनाइदिएको छ । स्कुलले गैरकानुनी रुपमा Discipline Incharge-DI पनि राखेको रहेछ भन्ने गुनासो आएको छ ।",08/21/2024,शिक्षा विभाग,open
51,NoWard,11584,"कामपाले विध्यार्थिलाइ निशुल्क छात्रबृत्ति स्कुललाइ सिफारिस गरेकाेमा प्राय विध्यार्थिले निशुल्क भर्ना गरेकाे KMC  र CCRC कलेजले  कामपा बाट आएका विध्यार्थिलाइ भेदभाव गर्ने , भर्ना गर्न राेक्ने कसरी हुन्छ विध्यार्थिलाइ पैसा लिइ मात्र भर्ना गर्न खाेजेकाे छ अनुगमन गर्नु पर्याे भन्ने गुनासाे आएकाे छ । ",07/29/2024,शिक्षा विभाग,open
52,Ward 16,11573,कामपा १६ माछापोखरीमा Kids Learning School मापदण्ड विपरित आवासीय क्षेत्रमा  रहेको तथा विद्यार्थीले होहल्ला गर्ने र कार्यक्रम गर्दा ध्वनी प्रदुषण भई बस्न साह्रै गाह्रो भयो भन्ने गुनासो आएको छ ।,07/26/2024,शिक्षा विभाग,open
53,Ward 32,11549,३२ वडा पेश्सिकाेलाकाे बेन्सि भिजन स्कुलले  त्यहि पढिरहेकाे विध्यार्थिसँग भर्ना शुल्क  लिइ  राखेकाे छ अनुगमन गर्नु पर्याे ।,07/21/2024,शिक्षा विभाग,open
54,Ward 27,11543,"कामपा २७ वडा दरवार हाइस्कुल तथा अन्य सरकारी स्कुलहरुमा Book Free Friday को नाममा विद्यार्थीहरुले मोवाइल ल्याएर च्याटिङ गर्ने, movie हेरेर बस्ने गर्छन् । शिक्षकहरुले विद्यार्थिलाई यस बारेमा केही निगरानी राखेको पाइएन । Book Free Friday  मा practically केही नयाँ कुरा सिकाउनु पर्ने ठाउँमा यस्ता कुराहरुले त झन्  विद्यार्थीको भविष्य माथि नै असर पर्ने भयो । भन्ने गुनासो आएको छ ।",07/19/2024,शिक्षा विभाग,open
55,Ward 27,11331,वडा २७ ग्वार्काेपाखा ठमेल मा रहेकाे एभरेष्ट सेकेण्डरी वाेडिङ स्कुल ले भर्ना फि धेरै लियाे साथै एडमिसन फि पनि मनलाग्दि लिएकाे छ अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,07/01/2024,शिक्षा विभाग,open
56,Ward 26,11318,"कामपा २६ वडा गल्कोपाखामा रहेको एभरेष्ट सेकेण्डरी बोर्डिङ्ग स्कुलले भर्ना शुल्क भनेर १८,००० र २०,००० लिई रहेको छ । अनुगमन गर्नुपर्यो भन्ने गुनासो आएको छ ।",06/29/2024,शिक्षा विभाग,open
57,Ward 14,11286, १४  वडा कलंकिमा रहेकाे ज्ञानाेदय स्कुलले पत्येक विध्यार्थिसँग महिनै पिच्छे डाेनेसन शुल्क र Exam Fee  भनेर पैसा लिने गरेकाे छ अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,06/25/2024,शिक्षा विभाग,open
58,NoWard,10283, कामपा भित्र यस शैक्षिकशत्र देखि कक्षा ११ मा साईन्सकाे विध्यार्थिलाइ भर्ना लिदा कलेज स्कुलमा ल्याबकाे क्षमता  हेरेर मात्र भर्ना लिनु पर्याे भन्ने गुनासाे आएकाे छ । ,06/22/2024,शिक्षा विभाग,closed
59,NoWard,9260,"SEE  काे Result  नआउँदै बुकिङ भनेर हिमालय ह्यइटहाउस  कलेज तिनकुने , इन्टन कलेज तिनकुने र अर्वना स्कुल पुतलिसडकले कक्षा ११ काे लागि भर्ना लिइरहेकाे छ अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ",06/19/2024,शिक्षा विभाग,open
60,NoWard,9253, कामपा भित्रका प्राईभेट स्कुलहरुले  एकपटक भर्ना शुल्क र विभिन्न शिर्षकमा पैसा लिइसकेपछि अर्काे वर्ष पनि त्यहि पढेका विध्यार्थिलाइ  भर्ना शुल्क लिने गरेका छन् कामपाले अनुगमन गरेर त्यस्ता स्कुलहरुलाइ कारबाहि गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,06/18/2024,शिक्षा विभाग,open
61,NoWard,9245,कामपा भित्र अहिले धेरै अटिजम राेग लागेका विध्यार्थि बढेका छन् कामपाले सामुदाियक स्कुलहरुमा छुट्टै अटिजम राेग भएकाे विध्यार्थिलाइ पढ्ने पढाउने बातावरण मिलाउनु पर्ने देखिन्छ बिशेष त कामपाले एउटा छुट्टै अटिजम भएकाे विध्यार्थिलाइ  पढाउन स्कुल खाेल्नुपर्छ भन्ने गुनासाे आएकाे छ । ,06/17/2024,शिक्षा विभाग,open
62,NoWard,9244,गुहेश्वरी सिनामंगल आधारभुत सामुदाियक  विध्यालयमा शिक्षकहरु कहिले आउने कहिले नआउने आएपनि हाजिर गरेर बाहिर जाने सातपिरेडकाे कक्षामा २/३ पिरेड कक्षा कहिले नहुने यस्ताे लापरबाहि भएकाे छ कामपा कार्यालयले तुरुन्त अनुगमन गरी कारबाहि गरिनुपर्याे भन्ने गुनासाे आएकाे छ । ,06/17/2024,शिक्षा विभाग,open
63,Ward 1,9231,"विशालनगरमा रहेको मल्पी सिटी स्कुल (Malpi City School Junior Block) को बिल्डिंगको छानो टिनको रहेको छ, अहिलेको यस गर्मी मौसममा बच्चाहरुलाई त्यहाँ बसेर पढ्न गाह्रो भईरहेको छ, अभिभावकहरुले स्कुलमा गएर यस बारे कुरा गर्दा पनि केहि सुनुवाई भएन भन्ने गुनासो आएको छ। ",06/15/2024,शिक्षा विभाग,open
64,Ward 11,9221,"थापाथलीमा Clamphook भन्ने institute छ जहाँ २००० बढी विद्यार्थीहरुको शिक्षण भइराखेको छ | त्यहाँ  टोइलेट र पानिको केहि व्येवास्था छैन | झ्याल, भेन्टिलेशन पनि नभएको क्लासहरु छन् |  मापदण्ड बिपरित क्लास संचालन गरिएको छ, अनुगमन गरिदिनु पर्यो भन्ने गुनासो आएको छ |",06/14/2024,शिक्षा विभाग,open
65,Ward 5,9206,"नक्सालमा रहेको वृहस्पति विद्या सदन विद्यालयले २ कि.मि. भन्दा कम दुरीको बस भाडा रु ३५०० लिइरहेको छ, जब कि ५ कि.मि. भन्दा बढी दुरीको मात्र भाडा रु २५०० लिन मिल्छ, यो बस भाडामा भएको लापरबाहीको अनुगमन गर्दिन पर्यो भन्ने गुनासो आएको छ। ",06/12/2024,शिक्षा विभाग,open
66,Ward 13,9199,"परोपकार आदर्श माध्यमिक बिद्यालयको सिमाना भित्र सटरमा पसल राखेर व्यापार गरिराखेको छ, आएर अनुगमन गरिदिनु पर्यो भन्ने गुनासो आएको छ | ",06/12/2024,शिक्षा विभाग,open
67,Ward 29,9189,२८ वडा पद्माेदय स्कुलमा कक्षा ८ मा भर्ना भएकाे विध्यार्थि फेल भएर फेरि कक्षा आठमै भर्ना हुदाँ भर्ना फि लियाे भन्ने गुनासाे आएकाे छ ।,06/10/2024,शिक्षा विभाग,open
68,Ward 10,9149,नाेबल एकेडेमि स्कुलले वास्तविक विध्यार्थि संख्या लुकाएर कम छात्रवृति काेटाहरु निकाल्याे अनुगमनकाे लागि अनुराेध छ ।,06/08/2024,शिक्षा विभाग,open
69,Ward 32,9148,भियसनिकेतन स्कुलले त्यहि पढेका  विध्यार्थिहरुलाई वार्षिक शुल्क भनेर ठुलाे रकम लिइरहेकाे छ अनुगमन गर्नपर्याे भन्ने गुनासाे आएकाे छ । ,06/07/2024,शिक्षा विभाग,open
70,Ward 32,9139,"३२ वडा जडिबुटि नरेफाट न्यु टुलिस संस्थागत स्कुलले भर्ना फ्रि महङ्गाे लियाे स्कुलमा बालबालिकाकाे  खाजा खानकाे लागि ओत  लाग्ने ठाउँ छैन , लाइनमा बस्दा पनि आदि चाैरमा आदि क्लासमा लाइन बस्नुपर्ने , गेटमा गेटपालेकाे व्यवस्था पनि छैन  मापदण्ड विपरित स्कुल सञ्चालन गरेकाे छ तुरुन्त अनुगमन गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ",06/06/2024,शिक्षा विभाग,open
71,Ward 9,9122,कामपा ९ वडा सिनामंगलमा रहेको एस स्कुलले त्यही पढिराखेका सबै विधार्थीसँग वार्षिक शुल्क भनेर ठूलो रकम लिने गर्दछ ।,06/04/2024,शिक्षा विभाग,open
72,Ward 9,9121,कामपा ९ वडा सिनामंगलमा रहेको एस स्कुलले त्यही पढिराखेका सबै विधार्थीसँग वार्षिक शुल्क भनेर ठूलो रकम लिने गर्दछ ।,06/04/2024,शिक्षा विभाग,open
73,Ward 3,9018,पानीपोखरी निर भएको भानुभक्त स्कुलमा भर्ना फी भनेर २ कक्षामा पढ्ने बिध्यार्थीलाइ १५००० लिएको छ भन्ने गुनासो आएको छ |,05/18/2024,शिक्षा विभाग,open
74,Ward 16,9012,१६ नं वडा चमति  AVM स्कुलले त्यहि पढकाे विध्यार्थि सँग भर्ना शुल्क लियाे  अनुगमन गरिदिनुपर्याे । ,05/16/2024,शिक्षा विभाग,open
75,Ward 14,9002,कलंकि चाेक निर रहेकाे पिनाकल स्कलस् एकेडेमि स्कुलले भर्ना शुल्क ११००० लियाे Monthly Fee 5000 छ अनुगमन गरिदिनुपर्याे । ,05/15/2024,शिक्षा विभाग,open
76,Ward 14,8989, १४ वडामा रहेकाे बल्खु वर्नहार्ड कलेजले स्कलरसिपमा पढेकाे विध्यार्थिलाइ १२००० रुपैया लियाे  तुरुन्त अनुगमन गरिनुपर्याे ।,05/13/2024,शिक्षा विभाग,open
77,Ward 28,8984,कामपा २८ पुतलीसडकमा रहेको काम्यक सेकेन्डरी स्कुलले वार्षिक शुल्क लिइरहेको छ भन्ने गुनासो आएको । अनुगमन गरिदिनुपर्याे ।,05/13/2024,शिक्षा विभाग,open
78,Ward 13,8978,कामपा १३ ताहाचलमा होलिभिजन स्कुलले वार्षिक शुल्क लिइरहेको छ । अनुगमन गरिदिनुपर्यो ।,05/13/2024,शिक्षा विभाग,open
79,Ward 10,8971,वडा नं १० अन्तर्गत नयाँबानेश्वर मा रहेकाे क्याम्ब्रिज स्कुलले वार्षिक शुल्क लियाे अनुगमन गरिदिनुपर्याे । ,05/12/2024,शिक्षा विभाग,open
80,Ward 17,8962,वार्ड १७ भुरुङखेलमा रहेको White Field Higher Secondary School ले त्येही पढेको LKG बाट UKG जादै गरेको विद्यार्थी संग भर्ना मुलक भनेर १७०००  लिएको छ |,05/11/2024,शिक्षा विभाग,open
81,NoWard,8931,महानगरको सपोर्टमा खरिबोटमा  Autism school चलिराखेको छ | त्यहाँ एडमिसन फी १५००० लिराखेको छ | यो बारेमा महानगर बेखबर छ कि थाहा पाएर पनि  एतिकै बसिराख्नु भएको हो  भनेर गुनासो आएको छ |,05/05/2024,शिक्षा विभाग,open
82,Ward 15,8925,छाउनीको सांकारी स्कूलले जथाभाबी Annual fee लिएर हैरान बनायो। ,05/04/2024,शिक्षा विभाग,closed
83,Ward 16,8914,कामपा 16 खरिबाेट अदितिय वाेडिङ स्कुलले भर्ना फि भनेर शुल्क लियाे अनुगमन गरिदिनुपर्याे । ,05/02/2024,शिक्षा विभाग,open
84,Ward 7,8907,सरस्वति एकेडेमि स्कुलले नियमित कक्षाामा नपढाएर २ घण्टा  extra class भनेर  लिइरहेकाे छ याे अति भयाे राेक्नुपर्याे । ,05/01/2024,शिक्षा विभाग,open
85,Ward 11,8890,"URO Kids थापाथलि LKG पढ्ने विद्यार्थिलाइ  स्टेशनरी र URO Kids भनेर ४९,००० लियाे । अनुगमन गरिदिनुपर्याे । ",04/29/2024,शिक्षा विभाग,open
86,Ward 15,8888,१५ नं वडा जगंतसुन्दर वानिकुटि स्कुलले Annual Fee  भनेर पैसा लियाे  अनुगमन गरिदिनुपर्याे । ,04/29/2024,शिक्षा विभाग,open
87,Ward 10,8870,"काठमाडौँ महानगरले भर्ना शुल्क लिन नमिल्ने भनि सूचना जारी गरेता पनि K.M.C School ले त्यहि पढिरहेको विद्यार्थीलाई भर्ना शुल्क लिइरहेको छ, अनुगमन गर्न पर्यो ।",04/27/2024,शिक्षा विभाग,open
88,Ward 7,8862,रिवेरा इन्टरनेशनल स्कुलले भर्ना शुल्क १७००० र Monthly  Fee  ४८०० रुपैया लियाे । अनुगमन गरिदिनुपर्याे । ,04/26/2024,शिक्षा विभाग,open
89,Ward 29,8861,"अक्सिडेन्टल पब्लिक स्कुल , अनामनगर मा रहेकाे  स्कुले भर्ना शुल्क रु १०,००० लियाे साथै  मथ्लि रु ५५०० पनि लियाे अनुगमन गरिदिनुपर्याे । ",04/26/2024,शिक्षा विभाग,open
90,Ward 14,8856,Pinacle Scolors Boarding School कल‍ंकीले आफ्ना विधार्थीलाइ आफ्नै स्कुलको कपी स्टेशनरी किन्न बाध्य गरायो ।,04/25/2024,शिक्षा विभाग,open
91,Ward 14,8853,कुलेश्वर आवास मावि ले दुइकक्षाकाे  annual Fee भनेर ७/८ हजार लियाे । भन्ने उजुरी आएकाे छ । ,04/25/2024,शिक्षा विभाग,open
92,Ward 32,8850,वार्ड ३२ ग्लोबल पब्लिक स्कुल पेप्सीकोलामा भर्ना सुल्क भनेर ठुलो रकम उसुलेको छ भन्ने गुनासो आएको छ |,04/25/2024,शिक्षा विभाग,open
93,Ward 29,8849,डिल्लिबजारमा रहेकाे CBM College ले  १३ दिन Absent  भएकाे पैसा १३०० लियाे यसकाे उचित अनुगमन गरिदिनुपर्याे । exam   काे ADMIT  CARD  दिएन ।,04/25/2024,शिक्षा विभाग,open
94,Ward 4,8848,कामपा अन्तर्गत रहेकाे काठमाडाैं मेरिडियन स्कुल कामपा ४ लाेहचाल चत्पलकारखाना नजिक रहेकाे छ स्कुलले विविध शुल्क राखेर चर्काे शुल्क अशुल्दै आएकाे छ अनुगमन गरिदिनुपर्याे ।,04/24/2024,शिक्षा विभाग,open
95,Ward 14,8845,"कामपा १४ नं वडा मा रहेकाे LRI स्कुल कलंकीले भर्ना शुल्क २३,२४०। लियाे  अनुगमन गरिदिनुपर्याे । ",04/24/2024,शिक्षा विभाग,open
96,Ward 16,8843,कामपा १६ बालाजु तरुन मा‍.वि. ले जनसहयोग भनेर रु. ३५००।- को रसिद दिन्छ । अनुगमन गरिदिनुपर्यो ।,04/24/2024,शिक्षा विभाग,open
97,Ward 27,8842,कामपा २७ पानीपाेखरीमा रहेकाे भानुभक्त स्कुलले भर्ना शुल्क लिन्छ । मासिक शुल्क पनि वृद्धि गरेको छ ।,04/24/2024,शिक्षा विभाग,open
98,Ward 10,8840,"Apex college पछाडी भएको Montessori Kinderworld मा मेन्टेनेन्स र स्टेसनरि फी भनेर लोवर केजीमा पढ्नेलाइ ४९००० लिएको छ तर रिसिप्तहरु पनि पछि पठाउछाै भनेर दिएको छैन | त्यो बाहेक खाजा र ट्रान्सपोर्ट भनेर पनि छुटै फी लिनुहुन्छ | महानगरको सूचना बिपरित भयो भन्ने गुनासो आएको छ, अनुसन्धान गरेर सामाधान गर्नु पर्यो |",04/24/2024,शिक्षा विभाग,open
99,Ward 10,8835,काठमाडाै प्रज्ञा  कुन्ज स्कुल ले Annual  Fee भनेर पैसा लिएकाे छ  अनुगमन गरिदिनुपर्याे । ,04/22/2024,शिक्षा विभाग,open
100,Ward 14,8830,१४ नं वडा मा रहेकाे Times Intrenational School ले  भर्ना शुल्क अघिल्लाे वर्ष पनि  लियाे अहिले पनि लियाे  अनुगमन गरिदिनुपर्याे । ,04/22/2024,शिक्षा विभाग,closed
101,Ward 32,8827,३२ नं वडा पेप्सिकाेला करियर स्कुलले त्यहि पढेका विध्यार्थिलाइ फेरि भर्ना शुल्क लिइ राखेकाे छ ।अनुगमन गरिदिनुपर्याे । ,04/22/2024,शिक्षा विभाग,open
102,Ward 29,8825,डिल्लिबजार भिजन स्कार स्कुलले भर्ना शुल्क उल्लेख नगरि नाम दर्ता जस्ताे अनेक शिर्षक राखेर भर्ना जस्तै शुल्क असुलेकाे छ तुरुन्त राेकिदिनुपर्याे    ,04/22/2024,शिक्षा विभाग,open
103,Ward 16,8821,"बालाजुको Holy Garden School ले कक्षा ९ को मासिक शुल्क रु.७८०० लिएर पनि कपि, पेन्सिल र  स्वीमिङ्गलाई भनि अतिरिक्त मासिक शुल्क रु.२६०० लिदै आइरहेको छ। अतिरिक्त मासिक शुल्क अनावश्यक भएको भनि पटक पटक स्कुलमा गुनासो राख्दा पनि स्कुलमा केहि परिवर्तन नभएको भन्ने गुनासो आएको छ। ",04/21/2024,शिक्षा विभाग,open
104,Ward 24,8820,२४ नं वडा इन्द्रचाेक एरियामा पसलहरुकाे फाेहाेरकाे पैसा प्राइभेट कम्पनिले उठाइरहेकाे  छ र घरकाे पैसा पनि छुट्टै  एउटै व्यक्तिलाइ तिर्नुपर्याे  दाेहाेराे कर भयाे । ,04/21/2024,शिक्षा विभाग,open
105,Ward 1,8818,१ नं वडा नक्साल राइ स्कुलले भर्ना शुल्क भनेर कक्षा ४ काे विध्यार्थिकाे चालिस हजार लियाे तुरुन्त अनुगमन गरिदिनुपर्याे । ,04/21/2024,शिक्षा विभाग,open
106,NoWard,8817,कान्तपुर स्कुलमा कक्षा ५ मा पढ्ने विध्यार्थि सँग भर्ना शुल्क ४०००० लियाे याे अति नै महङगाे भयाे याे स्कुल सामान्य हाे   महानगरपालिकाले भर्ना शुल्क फ्रि भने पनि प्रत्येक स्कुलले मनलाग्दि तरिकाले पैसा लिएकाे देखिएकाे छ  अनुगमन गर्न जरुरी छ छिटाे अनुगमन गरिदिनुपर्याे । ,04/21/2024,शिक्षा विभाग,open
107,Ward 29,8816,२९ नं वडा अन्तर्गत रहेकाे अक्सिडेन्टल पब्लिक स्कुलले २ वर्ष अगाडि बिध्यार्थिलाइ टहरामा नपढाएर विल्डिमा पढाउछाै भनेकाे थियाे अहिलेसम्म पनि टहरामा पढाएकाे छ केहि वर्ष अगाडि टहरा महानगरपालिकाले हटाएकाे थियाे   साथै भर्ना शुल्क पनि ज्यादै महङगाे छ मन्थ्लि प्रि पनि सारै महङगाे छ एकपटक अनुगमन गरिदिनुपर्याे । ,04/21/2024,शिक्षा विभाग,open
108,Ward 3,8812,"काठमाडौँ मन्टेश्वरी बासबारी स्कुलले ३ कक्षामा पढ्ने विद्यार्थीको सबै; स्टेशनरी, खेलकुद आदि जोडेर मासिक शुल्क रु.४२००० बनाएर भर्ना शुल्क पनि रु.४२००० को नै बिल पठाएको छ। अनुगमन गर्दिन पर्यो। ",04/20/2024,शिक्षा विभाग,open
109,NoWard,8797,"SEE पछि bridge course  संचालित हुने ईनस्टिच्युटमा मनलाग्दी फ़ीस उठाएको छ | बच्चालाई त्रायल क्लास १ २ दिनको दिनु मन पर्यो भने जोइन् हुन्छ भन्दा पनि मिल्दैन, पहिला पैसा जम्मा गर्नुस पैसा जम्मा न गरि क्लास बस्न पाहिदैन र पछि मन लागेन भने पैसा फिर्ता पनि हुदैन भन्नु भयो | एस्तो कुराको व्गयवसथा गर्न पाए राम्रो हुन्थ्यो भन्ने सुझाव आएको छ |",04/16/2024,शिक्षा विभाग,open
110,Ward 13,8774,बाफलमा रहेको ज्ञानोदय माध्यमिक विद्यालय एक सरकारी विद्यालय हो या होइन? सरकारी हो भने भर्ना शुल्क (Admission Fee) लाग्छ र? भर्ना शुल्क भनेर २२०० देखि २५०० तोकेको छ। यो विषयमा सम्बन्धित निकायको ध्यानाकर्षण गराउन चाहन्छु। ,04/12/2024,शिक्षा विभाग,open
111,Ward 14,8762,LRI स्कुल गेट निर रहेको Read and Return Stationary सङ्ग मिलेर किताब बेचिरहेको छ | अविभावकलाई बुक लिस्ट दिनुहोस भन्दा पसल रिफर गरेको छ सिधै त्यहाँबाट लिनुहोस् भन्छन | किताब किन्दा दिने छुट माग्दा पसलले स्कुलमा कमिसन दिनु पर्छ त्यसैले छुट दिन मिल्दैन भन्नु भयो | अनुगमन गरिदिनुहुन अनुरोध छ |,04/10/2024,शिक्षा विभाग,open
112,Ward 30,8746,"मैतीदेवी निर भएको Pheonix College of Management ले घोडे जात्राको दिन २६ गते बिदा नदिएर भोलि पल्ट २७ गते छुट्टि दिएको छ तर बिद्यालयको पठ्न पाठन भन्दा पनि राजनितिक पार्टी (दल ) को कार्यक्रमको लागि छुट्टि दिएकोछ, अनुगमन गरि आवस्यक कारवाहि गरिदिनु हुन अनुरोध छ |",04/09/2024,शिक्षा विभाग,open
